CATEGORY_ID,NUMBERS_IN_TREND,PERCENTAGE,TITLE,AVERAGE_DATE,STD_DATE,MAX_DATE
1,2345,5.726636,,41,275,3566
2,384,0.937752,,43,212,1771
10,6472,15.805026,,15,144,3451
15,920,2.246697,,8,18,386
17,2174,5.309043,,23,210,2940
19,402,0.981709,,7,6,60
20,817,1.995165,,22,170,2203
22,3210,7.839019,,16,116,2115
23,3457,8.442209,,10,80,1951
24,9964,24.332707,,13,104,4215
25,2487,6.073408,,19,175,2490
26,4146,10.124789,,8,28,945
27,1656,4.044055,,38,268,3027
28,2401,5.863391,,18,147,2818
29,57,0.139198,,5,3,14
43,57,0.139198,,11,7,27
